registration,bonnet_no,operator
LB69JRZ,BCE47026,First Bus
LB69JSU,BCE47027,First Bus
LB69JSV,BCE47028,First Bus
LB69JSX,BCE47029,First Bus
LB71ECV,SEe156,Go-Ahead
LB71ECW,SEe157,Go-Ahead
LB71ECX,SEe158,Go-Ahead
LB71NZM,BE37062,First Bus
LB71NZN,BE37063,First Bus
LB71NZO,BE37064,First Bus
LB71NZP,BE37065,First Bus
LB71NZR,BE37066,First Bus
LB71NZS,BE37067,First Bus
LB71NZT,BE37068,First Bus
LB71NZU,BE37069,First Bus
LB71NZV,BE37070,First Bus
LB71NZW,BE37071,First Bus
LB71NZX,BE37072,First Bus
LB71NZY,BE37073,First Bus
LB71NZZ,BE37074,First Bus
LB71OAA,BE37075,First Bus
LB71OAC,BE37076,First Bus
LB71OAD,BE37077,First Bus
LB71OAE,BE37078,First Bus
LB71OAG,BE37079,First Bus
LB71OAH,BE37080,First Bus
LB71OAJ,BE37081,First Bus
LB71OAL,BE37082,First Bus
LB71OAM,BE37083,First Bus
LB71OAN,BE37084,First Bus
LB71XNR,SEe159,Go-Ahead
LB71XNS,SEe160,Go-Ahead
LB71XNT,SEe161,Go-Ahead
LB71XNU,SEe162,Go-Ahead
LB71XNV,SEe163,Go-Ahead
LB71XNW,SEe164,Go-Ahead
LB71XNX,SEe165,Go-Ahead
LB71XNY,SEe166,Metrobus
LB72DYA,SEe168,Go-Ahead
LB72DYC,SEe169,Go-Ahead
LB72DYD,SEe170,Go-Ahead
LB72DYF,SEe171,Go-Ahead
LB72DYG,SEe172,Go-Ahead
LB75MHM,EZ41,Arriva
LB75MHN,EZ42,Arriva
LB75MHU,EZ44,Arriva
LB75MHV,EZ45,Arriva
LB75MHZ,EZ48,Arriva
LB75MJE,EZ49,Arriva
LB75MJF,EZ50,Arriva
LB75MJJ,EZ51,Arriva
LB75MJO,EZ53,Arriva
LB75MJV,EZ55,Arriva
LB75MKA,EZ58,Arriva
LB75MKC,EZ59,Arriva
LB75MKF,EZ62,Arriva
LB75MKG,EZ63,Arriva
LC67ACU,HV406,Arriva
LC67ACX,HV409,Arriva
LC67ACY,HV408,Arriva
LC67ACZ,HV410,Arriva
LC67ADU,VH45255,First Bus
LC67ADV,VH45257,First Bus
LC67ADX,VH45256,First Bus
LC67AHE,HV380,Arriva
LC67AHF,HV381,Arriva
LC67AHJ,HV383,Arriva
LC67AHK,HV384,Arriva
LC67AHL,HV385,Arriva
LC67AHN,HV386,Arriva
LC67AHO,HV387,Arriva
LC67AHP,HV388,Arriva
LC67AHU,HV392,Arriva
LC67AHV,HV394,Arriva
LC67AHX,HV389,Arriva
LC67AHY,HV390,Arriva
LC67AHZ,HV398,Arriva
LC67AJU,HV391,Arriva
LC67AJV,HV401,Arriva
LC67AJX,HV395,Arriva
LC67AJY,HV399,Arriva
LC67AKF,HV397,Arriva
LC67AKG,HV396,Arriva
LC67AKJ,HV402,Arriva
LC67AKK,HV400,Arriva
LC67AKN,HV403,Arriva
LC67AKO,HV407,Arriva
LC67AKP,HV404,Arriva
LC67AKU,HV405,Arriva
LC71KTV,BME27005,First Bus
LC71KTX,BME27006,First Bus
LC71KUA,BME27007,First Bus
LC71KUB,BME27008,First Bus
LC71KUD,BME27009,First Bus
LC71KUE,BME27010,First Bus
LC71KUF,BME27011,First Bus
LC71KUG,BME27012,First Bus
LC71KUH,BME27013,First Bus
