route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
D6,E20D/Enviro200 MMC,ADL Enviro200 | ADL Enviro200 MMC,4,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,double,4
D7,BZL (dd)/MCV,Wright StreetDeck Electroliner,3,WRIGHTBUS,BZL (dd)/MCV,electric,double,3
D8,BZL (dd)/MCV,Volvo BZL DD,1,VOLVO,BZL (dd)/MCV,electric,double,1
E1,B9TL/Gemini 2,Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,4,,B9TL/Gemini 2,diesel,double,4
E10,E20D/Enviro200 MMC,ADL Enviro200 MMC,1,,E20D/Enviro200 MMC,diesel,single,1
E11,E20D/Enviro200 MMC,ADL Enviro200 MMC,1,,E20D/Enviro200 MMC,diesel,single,1
E2,B9TL/Gemini 2,Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3,7,,B9TL/Gemini 2,diesel,double,7
E3,E40H/Enviro400H,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400H,9,,E40H/Enviro400H,hybrid,double,9
E5,E20D/Enviro200 MMC,ADL Enviro200 MMC,2,,E20D/Enviro200 MMC,diesel,single,2
E6,Kite Electroliner 10.9m,Wright GB Kite Electroliner,2,,Kite Electroliner 10.9m,electric,double,2
E7,Kite Electroliner 10.9m,Wright GB Kite Electroliner | ADL Enviro200 MMC,3,,Kite Electroliner 10.9m,electric,double,3
E8,B9TL/Gemini 2,Volvo B5LH MCV EvoSeti | Volvo B5LH Wright Eclipse Gemini 3,7,,B9TL/Gemini 2,diesel,double,7
E9,Trident/Enviro400,Volvo B5LH MCV EvoSeti,1,,Trident/Enviro400,diesel,double,1
EL1,New Bus for London,,0,,New Bus for London,hybrid,double,0
EL2,New Bus for London,,0,,New Bus for London,hybrid,double,0
EL3,New Bus for London,,0,,New Bus for London,hybrid,double,0
G1,E100EV/Enviro100EV 8.5m,,0,,E100EV/Enviro100EV 8.5m,electric,single,0
H10,D8UR/Enviro200MMC EV,BYD D8UR ADL Enviro200EV,3,,D8UR/Enviro200MMC EV,electric,single,3
H11,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
H12,E40H/Enviro400H MMC,,0,,E40H/Enviro400H MMC,hybrid,double,0
H13,E200Dart/Enviro200,,0,,E200Dart/Enviro200,diesel,double,0
H14,E40H/Enviro400H MMC,,0,,E40H/Enviro400H MMC,hybrid,double,0
H17,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
H18,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
H19,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
H2,Solo SR 7.9m,,0,,Solo SR 7.9m,diesel,single,0
H20,MetroCity EV 8.7m,,0,,MetroCity EV 8.7m,electric,,0
H22,E20D/Enviro200 MMC,ADL Enviro200 MMC,3,,E20D/Enviro200 MMC,diesel,double,3
H25,E20D/Enviro200,ADL Enviro200,2,,E20D/Enviro200,diesel,double,2
H26,E20D/Enviro200 MMC,ADL Enviro200 MMC,1,,E20D/Enviro200 MMC,diesel,single,1
H28,E20D/Enviro200,,0,,E20D/Enviro200,diesel,double,0
H3,Solo SR 7.9m,,0,,Solo SR 7.9m,diesel,single,0
H32,New Bus for London,,0,,New Bus for London,hybrid,double,0
H37,E20D/Enviro200 MMC,ADL Enviro200 MMC,3,,E20D/Enviro200 MMC,diesel,double,3
H9,D8UR/Enviro200MMC EV,BYD D8UR ADL Enviro200EV,3,,D8UR/Enviro200MMC EV,electric,single,3
H91,New Bus for London,,0,,New Bus for London,hybrid,double,0
H98,New Bus for London,,0,,New Bus for London,hybrid,double,0
K1,E20D/Enviro200,,0,,E20D/Enviro200,diesel,single,0
K2,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
K3,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
K4,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,single,0
K5,E20D/Enviro200,,0,,E20D/Enviro200,diesel,single,0
N1,E40H/Enviro400H MMC,ADL Enviro400H MMC,1,VOLVO,E40H/Enviro400H MMC,hybrid,double,3
N102,,,0,,B5LH/Gemini 2,hybrid,double,0
N105,,,0,,B5LH/Gemini 3,hybrid,double,0
N108,,,0,,D9UR/Enviro200 MMC EV,electric,double,0
N109,E40H/Enviro400H MMC,ADL Enviro400H MMC,2,,E40H/Enviro400H MMC,hybrid,double,2
N11,E40H/Enviro400H MMC,ADL Enviro400H MMC,1,VOLVO,E40H/Enviro400H MMC,hybrid,double,2
N111,,,0,,Streetdeck Electroliner 10.5m,electric,double,0
N113,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,2,,Streetdeck Electroliner 10.5m,electric,double,2
N118,B5LH/Gemini 3,BYD BD11,4,,B5LH/Gemini 3,hybrid,double,4
N119,,,0,,DD/Enviro400EV City,electric,double,0
N12,,,0,,New Bus for London,hybrid,double,0
N123,,,0,,?,diesel,,0
