route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
225,regular,TL,Catford,Stagecoach London,,Canada Water,Hither Green,,,Canada Water,Hither Green,19.5,20.4,19.9,20,19.7,9.203,5.72
226,regular,BT,Edgware,First,,Golders Green,Ealing,,,Golders Green,Ealing,11.7,12,11.7,0,12,15.931,9.9
227,regular,SM,Sydenham,Go-Ahead,,Crystal Palace,Bromley,,,Crystal Palace,Bromley,8.9,9.2,8.9,0,9.1,8.698,5.4
228,regular,WJ,Willesden Junction,Metroline,,Maida Hill Chippenham Gardens,Park Royal,,,Maida Hill Chippenham Gardens,Park Royal,30.4,31.2,28.8,29,29.5,14.653,9.1
229,regular,DT,Dartford,Arriva,,Sidcup,Thamesmead Town Centre,,,Sidcup,Thamesmead Town Centre,0,0,0,0,11.8,21.327,13.25
23,twentyfour,X,Westbourne Park,First,,Aldwych,Westbourne Park,,,Aldwych,Westbourne Park,12,12,12,26.7,12,11.371,7.07
230,regular,NP,Northumberland Park,Go-Ahead,,Wood Green Station,Upper Walthamstow,,,Wood Green Station,Upper Walthamstow,14.6,15,14.3,0,14.9,12.16,7.56
231,regular,PB,Potters Bar,Metroline,,Wood Green Turnpike Lane Station,Enfield,,,Wood Green Turnpike Lane Station,Enfield,14.3,15.3,14.8,0,15.2,10.047,6.24
232,regular,NP,Northumberland Park,Go-Ahead,,Wood Green Turnpike Lane Station,St Raphael's Estate,,,Wood Green Turnpike Lane Station,St Raphael's Estate,11.6,12.4,11.9,0,12.7,21.168,13.15
233,regular,MB,Orpington,Go-Ahead,,Eltham,Swanley,,,Eltham,Swanley,21,22.3,21.8,0,21.4,14.604,9.07
234,regular,HT,Holloway,Metroline,,Archway,Barnet,,,Archway,Barnet,11.8,12.2,12,0,12,15.065,9.36
235,regular,WK,Hounslow Heath,First,,Great West Quarter,Lower Sunbury,,,Great West Quarter,Lower Sunbury,7.5,8.7,7.9,0,8.8,15.755,9.79
236,regular,HO,Lea Interchange,Stagecoach London,,Hackney Wick,Finsbury Park Station,,Finsbury Park Interchange,Hackney Wick,"Finsbury Park Station, Finsbury Park Interchange",9.4,9.9,9.9,0,9.9,11.156,6.93
237,regular,AH,Brentford,Metroline,,White City,Hounslow Heath,White City Bus Station,Hounslow Heath / the Hussar,White City,Hounslow Heath,9.4,9.7,9.4,0,9.4,14.659,9.11
238,twentyfour,BK,Barking,Stagecoach London,,Barking,Stratford,Barking Station,Stratford Bus Station,Barking,Stratford,9.9,10,9.9,25.9,10,7.729,4.8
24,twentyfour,QB,Battersea,Transport UK,,Hampstead Heath,Pimlico,Royal Free Hospital,Grosvenor Road,"Hampstead Heath, Royal Free Hospital","Pimlico, Grosvenor Road",10.5,11.5,11.5,23.8,11.2,10.657,6.62
240,regular,EW,Edgware,Metroline,,Edgware,Golders Green,Edgware Station,Golders Green Station,Edgware,Golders Green,0,0,0,0,15,12.532,7.79
241,regular,WH,West Ham,Stagecoach London,,"Silvertown, Royal Wharf","Hackney Wick, Here East",Royal Crest Avenue,Here East,"Silvertown, Royal Wharf, Royal Crest Avenue","Hackney Wick, Here East",10.6,10.2,11.4,20,9.8,11.917,7.4
242,regular,HK,Ash Grove,Stagecoach London,,Aldgate,Homerton Hospital,Aldgate Station,,Aldgate,Homerton Hospital,11.6,12.2,11.9,0,12,9.36,5.82
243,twentyfour,AR,Tottenham,Arriva,,Waterloo,Wood Green,Waterloo Station / Mepham Street,Wood Green Station,Waterloo,Wood Green,7.9,8,8,26.8,8,16.174,10.05
244,regular,MG,Morden Wharf (Greenwich),Go-Ahead,,Abbey Wood,Queen Elizabeth Hospital,Abbey Wood Road,Queen Elizabeth Hospital / West Entrance,Abbey Wood,Queen Elizabeth Hospital,11.1,11.7,11.1,0,10.9,13.227,8.22
245,regular,AO,Athlon Road,Metroline,,Golders Green,"Alperton, Sainsbury's",Golders Green Station,Glacier Way,Golders Green,"Alperton, Sainsbury's, Glacier Way",0,0,0,0,9.9,15.299,9.51
246,regular,TB,Bromley,Stagecoach London,,Chartwell,Bromley North,Westerham Green,Bromley North Station,"Chartwell, Westerham Green",Bromley North,29.6,31,29.6,0,28.9,45.825,28.47
247,regular,NS,Romford,Stagecoach London,,Romford Station,Barkingside,,Barkingside Station,Romford Station,Barkingside,9.8,10.4,9.9,0,10,13.314,8.27
248,regular,GY,Grays,Arriva,,Cranham,Romford Market,Moor Lane,,"Cranham, Moor Lane",Romford Market,0,0,0,0,8,11.112,6.9
249,regular,N,Norwood,Arriva,,Anerley Station,Clapham Common,Jasmine Grove,Clapham Common Old Town,"Anerley Station, Jasmine Grove",Clapham Common,9.9,10.1,9.9,0,9.9,13.159,8.18
25,regular,BW,Bow,Stagecoach London,,"Holborn Viaduct, City Thameslink Station",Ilford,Holborn Circus,Hainault Street,"Holborn Viaduct, City Thameslink Station, Holborn Circus","Ilford, Hainault Street",8.6,8.7,8.4,11,8.5,15.237,9.47
250,twentyfour,TH,Thornton Heath,Arriva,,Croydon Town Centre,Brixton,West Croydon Bus Station,Brixton Station,"Croydon Town Centre, West Croydon Bus Station",Brixton,7,7.5,7.4,0,7.5,12.323,7.66
251,regular,EW,Edgware,Metroline,,Edgware,Arnos Grove,Edgware Station,Arnos Grove Station,Edgware,Arnos Grove,0,0,0,0,12.5,14.815,9.21
252,regular,RM,Rainham,Stagecoach London,,"Hornchurch, Town Centre",Collier Row,,Collier Row / Clockhouse Lane,"Hornchurch, Town Centre",Collier Row,0,0,0,0,11.9,13.52,8.4
253,regular,CT,Clapton,Arriva,,Euston,Hackney Central,Euston Bus Station,Hackney Central Station,Euston,Hackney Central,7.6,8.3,7.9,0,8.1,12.082,7.51
254,regular,SF,Stamford Hill,Arriva,,"Holloway, Nags Head",Aldgate,Caledonian Road,Aldgate Station,"Holloway, Nags Head, Caledonian Road",Aldgate,7.7,8.3,7.9,0,8,12.753,7.92
255,regular,TH,Thornton Heath,Arriva,,Balham,Pollards Hill,Balham Station / Balham Station Road,South Lodge Avenue / Yorkshire Road,Balham,"Pollards Hill, South Lodge Avenue / Yorkshire Road",13.3,14,13.9,0,15,9.803,6.09
256,regular,NS,Romford,Stagecoach London,,Noak Hill,"Hornchurch, St George's Park",Wincanton Road,St George's Park,"Noak Hill, Wincanton Road","Hornchurch, St George's Park",12.2,12.4,11.8,0,13.1,11.541,7.17
257,regular,T,Leyton,Stagecoach London,,Walthamstow Central,Stratford,Walthamstow Bus Station,Stratford Bus Station,"Walthamstow Central, Walthamstow Bus Station",Stratford,7.3,7.7,7.5,15,7.5,8.378,5.21
258,regular,HD,Harrow Weald,Metroline,,South Harrow,Watford Junction,South Harrow Bus Station,Watford Junction Railway Station,South Harrow,Watford Junction,14.8,15.5,14.3,0,15.4,16.316,10.14
259,regular,AR,Tottenham,Arriva,,King's Cross,Edmonton Green,King's Cross Road / Pentonville Road,Edmonton Green Bus Station,King's Cross,Edmonton Green,9.9,10.1,10,15,9.9,12.508,7.77
26,regular,HK,Ash Grove,Stagecoach London,,Victoria,Hackney Wick,Westminster Cathedral / Victoria Stn,St Mary of Eton Church,Victoria,"Hackney Wick, St Mary of Eton Church",9.5,10.1,10,0,9.9,11.762,7.31
260,regular,AC,Willesden,Metroline,,Golders Green,White City,Golders Green Station,White City Bus Station,Golders Green,White City,12.8,13,12.7,21,12.7,16.616,10.32
261,regular,TB,Bromley,Stagecoach London,,Princess Royal Hospital,Lewisham Station,Princess Royal University Hospital,,"Princess Royal Hospital, Princess Royal University Hospital",Lewisham Station,0,0,0,0,12,14.511,9.02
262,regular,RR,River Road,Go-Ahead,,Stratford,"Gallions Reach, Shopping Park",Stratford Bus Station,,Stratford,"Gallions Reach, Shopping Park",10.6,11.1,10.8,15,10.9,9.602,5.97
263,regular,PB,Potters Bar,Metroline,,Barnet Hospital,Highbury Barn,,,Barnet Hospital,Highbury Barn,0,0,0,0,9.9,17.042,10.59
264,twentyfour,C,Croydon,Go-Ahead,,"Tooting, St. George's Hospital",Croydon Town Centre,St George's Hospital,West Croydon Bus Station,"Tooting, St. George's Hospital","Croydon Town Centre, West Croydon Bus Station",11.8,12.8,11.9,27,12.2,11.08,6.88
265,regular,AF,Putney,Go-Ahead,,Tolworth,Putney Heath,Tolworth / King Charles Road,Putney Bridge Station,Tolworth,"Putney Heath, Putney Bridge Station",13.3,13.7,13,0,12.8,18.58,11.55
266,regular,W,Cricklewood,Metroline,,"Brent Cross, Shopping Centre","Acton, High Street",,Acton Old Town Hall / Salisbury Street,"Brent Cross, Shopping Centre","Acton, High Street, Acton Old Town Hall / Salisbury Street",8.3,8,7.8,0,8.1,12.651,7.86
267,regular,TF,Fulwell (Twickenham),Transport UK,,Fulwell,Hammersmith,South Road / Fulwell,Hammersmith Bus Station,Fulwell,Hammersmith,0,0,0,0,12.9,27.583,17.14
268,regular,W,Cricklewood,Metroline,,"Finchley Road, O2 Centre",Golders Green,O2 Centre / Sainsbury's,Golders Green Station,"Finchley Road, O2 Centre, O2 Centre / Sainsbury's",Golders Green,14.6,15,14.7,0,15,5.733,3.56
269,regular,BX,Bexleyheath,Go-Ahead,,Bromley North,"Bexleyheath, Shopping Centre",Bromley North Station,Friswell Place,Bromley North,"Bexleyheath, Shopping Centre, Friswell Place",12.8,13.6,13,0,13.4,16.566,10.29
27,twentyfour,QB,Battersea,Transport UK,,Chalk Farm,Hammersmith Grove,Hartland Road / Camden Market,Glenthorne House,"Chalk Farm, Hartland Road / Camden Market","Hammersmith Grove, Glenthorne House",11.9,12.7,12.5,0,12.5,11.469,7.13
270,regular,BC,Beddington,Transport UK,,Mitcham,Putney Bridge,Madeira Road,Putney Bridge Station,"Mitcham, Madeira Road",Putney Bridge,0,0,0,0,9.9,10.486,6.52
272,regular,V,Stamford Brook,First,,Shepherd's Bush,"Chiswick, Grove Park",Shepherd's Bush Station,Cavendish Road,Shepherd's Bush,"Chiswick, Grove Park, Cavendish Road",15.7,16,15.9,0,16,9.978,6.2
273,regular,TL,Catford,Stagecoach London,,Petts Wood,"Lewisham, Tesco",Station Square / Petts Wood Station,Conington Road,Petts Wood,"Lewisham, Tesco, Conington Road",20.3,20,19.8,0,20,18.737,11.64
274,regular,HT,Holloway,Metroline,,Lancaster Gate,"Islington, Angel",Lancaster Gate Station,Angel Islington / City Road,Lancaster Gate,"Islington, Angel, Angel Islington / City Road",12.7,13.2,12.9,0,11,11.515,7.16
275,regular,T,Leyton,Stagecoach London,,Barkingside,"Walthamstow, St. James's Street Station",Barkingside Tesco,Selborne Walk,Barkingside,"Walthamstow, St. James's Street Station, Selborne Walk",13.7,14.6,13.4,0,13.9,18.399,11.43
276,regular,HO,Lea Interchange,Stagecoach London,,Stoke Newington,Newham Hospital,Stoke Newington Common,Gateway Surgical Centre,Stoke Newington,"Newham Hospital, Gateway Surgical Centre",13.5,14.5,13.7,0,13.8,18.32,11.38
277,regular,HK,Ash Grove,Stagecoach London,,Crossharbour,Dalston Junction,Isle of Dogs Asda,Forest Road,"Crossharbour, Isle of Dogs Asda","Dalston Junction, Forest Road",10.4,11.4,10.8,0,10.9,12.347,7.67
278,regular,DH,Hayes,Transport UK,,Ruislip,Heathrow Central,Ruislip Station,Heathrow Central Bus Station,Ruislip,Heathrow Central,0,0,0,0,14.9,17.375,10.8
279,regular,E,Enfield,Arriva,,Manor House,Waltham Cross,Manor House Station,Waltham Cross Bus Station,Manor House,Waltham Cross,5.7,6.9,6.3,0,7.7,14.572,9.05
28,regular,WJ,Willesden Junction,Metroline,,Wandsworth,Kensal Rise,Mapleton Crescent,Kensal Rise Station,"Wandsworth, Mapleton Crescent",Kensal Rise,10.2,11.6,11,0,10.7,14.595,9.07
280,regular,GM,Ellis Road,Go-Ahead,,Belmont,"Tooting, St. George's Hospital",Belmont Station / Brighton Road,St George's Hospital,Belmont,"Tooting, St. George's Hospital",0,0,0,0,9.9,11.628,7.23
281,twentyfour,FW,Fulwell,First,,Tolworth Station,"Hounslow, Bus Station",,,Tolworth Station,"Hounslow, Bus Station",10.5,10.5,10.5,23.8,10.5,19.182,11.92
281N,regular,,,,,,,,,,,,,,,,19.182,11.92
281R,regular,,,,,,,,,,,,,,,,26.014,16.16
282,regular,G,Greenford,Metroline,,Mount Vernon Hospital,Ealing Hospital,,,Mount Vernon Hospital,Ealing Hospital,0,0,0,0,11.8,19.283,11.98
284,regular,KB,Kangley Bridge Road,Stagecoach London,,Grove Park Cemetery,"Lewisham, Shopping Centre",,Lewisham Station,Grove Park Cemetery,"Lewisham, Shopping Centre, Lewisham Station",9.8,9.8,9.7,0,10.1,10.736,6.67
285,twentyfour,TF,Fulwell (Twickenham),Transport UK,,Kingston,Heathrow Central,Cromwell Road Bus Station,Heathrow Central Bus Station,"Kingston, Cromwell Road Bus Station",Heathrow Central,11.7,12,11.8,30,11.9,20.999,13.05
286,regular,MG,Morden Wharf (Greenwich),Go-Ahead,,"Greenwich, Cutty Sark",Queen Mary's Hospital,Greenwich Town Centre / Cutty Sark,Queen Mary's Hospital / Frognal Avenue,"Greenwich, Cutty Sark, Greenwich Town Centre / Cutty Sark",Queen Mary's Hospital,12.4,13.8,12,0,12.6,14.895,9.26
287,regular,RM,Rainham,Stagecoach London,,"Rainham, Abbey Wood Lane",Barking,Abbey Wood Lane,Barking Station,"Rainham, Abbey Wood Lane",Barking,15,15.2,15,0,15.3,13.1,8.14
288,regular,BT,Edgware,First,,Broadfields Estate,"Queensbury, Morrisons",Meadfield,,"Broadfields Estate, Meadfield","Queensbury, Morrisons",10,10,10,0,10.2,6.217,3.86
289,regular,TH,Thornton Heath,Arriva,,Purley,Elmers End,Purley Station,Elmers End Interchange,Purley,Elmers End,11.7,12.4,11.6,0,11.9,14.57,9.05
29,regular,WN,Wood Green,Arriva,,Trafalgar Square,Wood Green,Trafalgar Square / Charing Cross Stn,Wood Green Station,Trafalgar Square,Wood Green,5.3,6.1,6,0,5.9,11.826,7.35
290,regular,FW,Fulwell,First,,Twickenham,Staines,Arragon Road,Staines Bus Station,"Twickenham, Arragon Road",Staines,20,20,20,0,20,17.29,10.74
291,regular,MG,Morden Wharf (Greenwich),Go-Ahead,,Woodlands Estate,Queen Elizabeth Hospital,Garland Road Clinic,Queen Elizabeth Hospital / West Entrance,"Woodlands Estate, Garland Road Clinic",Queen Elizabeth Hospital,11.6,12.1,11.8,0,11.9,5.395,3.35
292,regular,UB,Hatfield,Uno,,"Colindale, Superstores","Borehamwood, Rossington Avenue",,Rossington Avenue,"Colindale, Superstores","Borehamwood, Rossington Avenue",19.5,0,20,0,20.3,14.663,9.11
293,regular,TV,Tolworth,First,,Epsom Hospital,Morden,,Morden Station,Epsom Hospital,Morden,20,20,19.8,0,20,12.075,7.5
294,regular,NS,Romford,Stagecoach London,,Noak Hill,Havering Park,Wincanton Road,,"Noak Hill, Wincanton Road",Havering Park,14.1,15,13.8,0,14.3,15.758,9.79
295,twentyfour,X,Westbourne Park,First,,Clapham Junction,"Ladbroke Grove, Sainsbury's",Clapham Junction Stn / the Falcon,Kensal House,Clapham Junction,"Ladbroke Grove, Sainsbury's, Kensal House",8.5,8.6,8.5,30,8.5,11.928,7.41
296,regular,NS,Romford,Stagecoach London,,Ilford Broadway,Romford Station,Roden Street,,"Ilford Broadway, Roden Street",Romford Station,0,0,0,0,19.8,13.268,8.24
297,twentyfour,PV,Perivale [East],Metroline,,Ealing Broadway,"Willesden, Bus Garage",Ealing Broadway Stn / Haven Green,Meyrick Road,Ealing Broadway,"Willesden, Bus Garage, Meyrick Road",11.5,12.1,11.3,28.5,11.9,14.93,9.28
298,regular,UB,Hatfield,Uno,,Potters Bar Station,Arnos Grove,,Arnos Grove Station,Potters Bar Station,Arnos Grove,20,20,18.7,0,20.2,12.501,7.77
299,regular,NP,Northumberland Park,Go-Ahead,,Cockfosters,Muswell Hill,Cockfosters Station,,Cockfosters,Muswell Hill,14.2,15,14.3,0,14.7,9.493,5.9
3,regular,TK,Therapia Lane,First,,Crystal Palace,Victoria,,Victoria Bus Station,Crystal Palace,Victoria,11.7,12,11.9,0,11.8,25.301,15.72
30,regular,KC,King's Cross,Metroline,,Hackney Wick,Euston,Hackney Wick / Trowbridge Road,Euston Bus Station,Hackney Wick,Euston,0,0,0,0,9.9,9.359,5.82
300,regular,SI,Silvertown,Go-Ahead,,Canning Town,East Ham Station,Canning Town Station,Wordsworth Health Centre,Canning Town,"East Ham Station, Wordsworth Health Centre",14.9,15.4,14.8,0,14.8,12.162,7.56
301,regular,DT,Dartford,Arriva,,Woolwich,"Bexleyheath, Shopping Centre",Beresford Sq / Woolwich Arsenal Stn,Market Place,Woolwich,"Bexleyheath, Shopping Centre, Market Place",11.6,12,11.7,0,12,12.652,7.86
302,regular,AC,Willesden,Metroline,,Kensal Rise,Mill Hill Broadway,Kensal Rise Station,Mill Hill Broadway Station,Kensal Rise,Mill Hill Broadway,0,0,0,0,9.2,12.919,8.03
303,regular,BT,Edgware,First,,Kingsbury Circle,Edgware,,Edgware Station,Kingsbury Circle,Edgware,14.8,15.4,14.8,0,15.1,11.3,7.02
304,regular,RR,River Road,Go-Ahead,,Manor Park,Custom House Station,Manor Park / Gladding Road,,Manor Park,Custom House Station,11.5,11.9,11.9,15,11.8,8.258,5.13
306,regular,QB,Battersea,Transport UK,,"Fulham, Sands End",Acton Vale,Sands End / Sainsbury's,Acton Vale / Bromyard Avenue,"Fulham, Sands End, Sands End / Sainsbury's",Acton Vale,12.6,14,13.6,0,13.8,10.806,6.71
307,regular,E,Enfield,Arriva,,Barnet Hospital,Brimsdown,,Brimsdown Station,Barnet Hospital,Brimsdown,9.7,10.4,9.8,0,10.1,15.523,9.65
308,regular,HO,Lea Interchange,Stagecoach London,,Clapton Pond,Wanstead,Lea Bridge Roundabout,Woodbine Place,"Clapton Pond, Lea Bridge Roundabout","Wanstead, Woodbine Place",11.7,11.9,11.8,0,11.9,28.352,17.62
309,regular,HK,Ash Grove,Stagecoach London,,"Bethnal Green, Bonner Road",Canning Town,Bonner Road,Canning Town Station,"Bethnal Green, Bonner Road",Canning Town,13.8,13.9,14,0,14.3,7.924,4.92
31,regular,X,Westbourne Park,First,,White City,"Camden Town, Bayham Street",White City Bus Station,Camden Town Station,White City,"Camden Town, Bayham Street, Camden Town Station",10.5,10.5,10.5,0,10.5,11.594,7.2
310,regular,HK,Ash Grove,Stagecoach London,,Golders Green,Stamford Hill,Golders Green Station,,Golders Green,Stamford Hill,18.9,19.1,19.4,0,19.9,12.138,7.54
312,regular,TC,Croydon,Arriva,,Norwood Junction,"Purley, Old Lodge Lane",Norwood Junction Station,Old Lodge Lane Bus Terminus,Norwood Junction,"Purley, Old Lodge Lane, Old Lodge Lane Bus Terminus",11.6,12,11.9,15,12.1,13.037,8.1
313,regular,E,Enfield,Arriva,,Potters Bar,Chingford Station,Dame Alice Owen's School,,"Potters Bar, Dame Alice Owen's School",Chingford Station,0,0,0,0,19.5,33.747,20.97
314,regular,TB,Bromley,Stagecoach London,,New Addington,Eltham Station,Salcot Crescent,Eltham Bus Station,"New Addington, Salcot Crescent","Eltham Station, Eltham Bus Station",12.2,12.5,11.9,0,12.1,22.511,13.99
315,regular,BC,Beddington,Transport UK,,"Tooting Bec, Springfield Hospital",West Norwood,Springfield University Hospital,Rothschild Street,"Tooting Bec, Springfield Hospital, Springfield University Hospital","West Norwood, Rothschild Street",19.8,20,20,0,19.9,8.661,5.38
316,regular,WJ,Willesden Junction,Metroline,,White City,Brent Cross West Station,White City Bus Station,,White City,Brent Cross West Station,8.3,9,8.6,0,8.5,12.245,7.61
317,regular,PB,Potters Bar,Metroline,,Enfield,Waltham Cross,Little Park Gardens,Waltham Cross Bus Station,"Enfield, Little Park Gardens",Waltham Cross,19.9,19.3,19.5,0,19.6,8.51,5.29
318,regular,NP,Northumberland Park,Go-Ahead,,Stamford Hill,North Middlesex Hospital,Rookwood Road,,"Stamford Hill, Rookwood Road",North Middlesex Hospital,11.7,12,11.8,0,12.3,9.663,6
319,regular,BN,Brixton Hill,Arriva,,Sloane Square,"Streatham Hill, Telford Avenue",Cadogan Gardens / Sloane Square,Telford Avenue,Sloane Square,"Streatham Hill, Telford Avenue",10,10,9.5,12,9.8,11.831,7.35
32,regular,W,Cricklewood,Metroline,,Kilburn Park,Edgware,Kilburn Park Station,Edgware Station,Kilburn Park,Edgware,0,0,0,0,9,11.026,6.85
320,regular,MB,Orpington,Go-Ahead,,Catford Bridge,Biggin Hill Valley,Catford Bridge Station,,Catford Bridge,Biggin Hill Valley,13.2,13.8,13.2,0,13,19.376,12.04
321,twentyfour,NX,New Cross,Go-Ahead,,New Cross Gate,"Foots Cray, Tesco",New Cross Sainsbury's,,"New Cross Gate, New Cross Sainsbury's","Foots Cray, Tesco",11.5,12.2,11.8,24.1,11.7,16.244,10.09
322,regular,QB,Battersea,Transport UK,,Clapham Common,Crystal Palace,The Pavement,Crystal Palace Parade,"Clapham Common, The Pavement",Crystal Palace,14.1,14.6,14.3,0,14.4,11.045,6.86
323,regular,WH,West Ham,Stagecoach London,,Mile End,Canning Town,Mile End Station,Canning Town Station,Mile End,Canning Town,18.9,19.1,19,0,19,5.216,3.24
324,regular,W,Cricklewood,Metroline,,"Brent Cross, Tesco","Elstree, Centennial Park",Tesco Brent Cross,Centennial Park,"Brent Cross, Tesco, Tesco Brent Cross","Elstree, Centennial Park",20.9,20.8,20,0,20.2,17.424,10.83
325,regular,RR,River Road,Go-Ahead,,Prince Regent,"East Beckton, Sainsbury's",Prince Regent Bus Station,,Prince Regent,"East Beckton, Sainsbury's",11.5,12.1,11.9,0,11.9,12.766,7.93
326,regular,BT,Edgware,First,,"Brent Cross, Shopping Centre","Barnet, The Spires",,The Spires,"Brent Cross, Shopping Centre","Barnet, The Spires",0,0,0,0,12,18.196,11.31
327,regular,PB,Potters Bar,Metroline,,Elsinge Estate,Waltham Cross,Cocker Road,Waltham Cross Bus Station,"Elsinge Estate, Cocker Road",Waltham Cross,40,40,40,0,40,2.72,1.69
328,regular,W,Cricklewood,Metroline,,"Chelsea, World's End",Golders Green,Limerston Street,Golders Green Station,"Chelsea, World's End, Limerston Street",Golders Green,0,0,0,0,9.9,12.757,7.93
329,regular,WN,Wood Green,Arriva,,Wood Green,Enfield,Turnpike Lane Station,Little Park Gardens,"Wood Green, Turnpike Lane Station","Enfield, Little Park Gardens",7.7,8,8,0,7.9,8.824,5.48
33,twentyfour,FW,Fulwell,First,,"Castelnau, Lonsdale Road","Fulwell, Stanley Road",Lonsdale Road,Fulwell Station,"Castelnau, Lonsdale Road","Fulwell, Stanley Road, Fulwell Station",8.6,8.8,8.2,0,8.8,13.266,8.24
330,regular,DS,Henley Road,Go-Ahead,,Pontoon Dock,Wanstead Park Station,Thames Barrier,,"Pontoon Dock, Thames Barrier",Wanstead Park Station,11.5,12.4,11.9,0,11.9,8.51,5.29
331,regular,UX,Uxbridge Industrial Estate,Metroline,,Uxbridge,Ruislip,Belmont Road,Ruislip Station,"Uxbridge, Belmont Road",Ruislip,21,20.1,18.8,0,20,21.575,13.41
333,regular,SW,Stockwell,Go-Ahead,,Elephant & Castle,Tooting Broadway,Elephant & Castle / Newington Causeway,Tooting Broadway Station,Elephant & Castle,Tooting Broadway,10.9,12,11.9,12,11.5,11.648,7.24
335,regular,DT,Dartford,Arriva,,North Greenwich,Kidbrooke,North Greenwich Station,Wingfield School,North Greenwich,"Kidbrooke, Wingfield School",12,12,12,0,12.3,16.779,10.43
336,regular,TB,Bromley,Stagecoach London,,Locksbottom,Catford Bridge,Locksbottom / Pallant Way,Catford Bridge Station,Locksbottom,Catford Bridge,0,0,0,0,14.8,16.18,10.05
337,regular,QB,Battersea,Transport UK,,Richmond,Clapham Junction,Richmond Bus Station,Bolingbroke Grove,Richmond,"Clapham Junction, Bolingbroke Grove",0,0,0,0,12.6,10.727,6.67
339,regular,HO,Lea Interchange,Stagecoach London,,Shadwell,Leytonstone,Shadwell Station,Leytonstone Station / Grove Green Road,Shadwell,Leytonstone,13.5,15.6,14.9,0,15.4,13.425,8.34
34,regular,AD,Palmers Green,Arriva,,Walthamstow Central,Barnet Church,Walthamstow Central Station,Fitzjohn Avenue,Walthamstow Central,"Barnet Church, Fitzjohn Avenue",9.5,10.3,9.5,15,10,18.277,11.36
340,regular,BT,Edgware,First,,Harrow,Edgware,Harrow Bus Station,Edgware Station,Harrow,Edgware,12,12,12,0,12,9.922,6.17
341,twentyfour,AR,Tottenham,Arriva,,Waterloo,"Meridian Water, Glover Drive",Waterloo Station / Waterloo Road,Meridian Water Station,Waterloo,"Meridian Water, Glover Drive, Meridian Water Station",11.6,12.6,11.9,19.9,11.9,17.298,10.75
343,regular,NX,New Cross,Go-Ahead,,New Cross Gate,Tower Gateway,New Cross / Jerningham Road,Tower Gateway Station,"New Cross Gate, New Cross / Jerningham Road",Tower Gateway,7.6,8,7.8,0,9.9,13.217,8.21
344,twentyfour,QB,Battersea,Transport UK,,Liverpool Street,Clapham Junction,Liverpool Street Station,Clapham Junction Station,Liverpool Street,Clapham Junction,8.8,9,9,21.8,9,11.292,7.02
345,twentyfour,QB,Battersea,Transport UK,,South Kensington,Peckham,Natural History Museum / Cromwell Road,Peckham Bus Station,"South Kensington, Natural History Museum / Cromwell Road",Peckham,9.3,9.6,9.4,27.5,8.5,14.581,9.06
346,regular,RM,Rainham,Stagecoach London,,Upminster Park Estate,"Harold Hill, Dagnam Park Square",Lexington Way,Dagnam Park Square,"Upminster Park Estate, Lexington Way","Harold Hill, Dagnam Park Square",21.6,22.4,22.1,0,22,15.352,9.54
349,regular,AR,Tottenham,Arriva,,Stamford Hill,"Ponders End, Bus Garage",Rookwood Road,Glyn Road,"Stamford Hill, Rookwood Road","Ponders End, Bus Garage, Glyn Road",9.9,10,9.9,14.7,10,9.295,5.78
35,twentyfour,Q,Camberwell,Go-Ahead,,Shoreditch,Clapham Junction,,Clapham Junction Stn / the Falcon,Shoreditch,Clapham Junction,8.3,8.3,8.3,21.1,10.4,14.082,8.75
350,regular,DH,Hayes,Transport UK,,Heathrow Terminal 5,"Hayes, Asda",,Fairey Corner,Heathrow Terminal 5,"Hayes, Asda, Fairey Corner",20,20,19.7,22.5,19.9,12.742,7.92
352,regular,SM,Sydenham,Go-Ahead,,Lower Sydenham,Bromley North,Bell Green / Sainsbury's,Bromley North Station,"Lower Sydenham, Bell Green / Sainsbury's",Bromley North,0,0,0,0,19.8,13.602,8.45
353,regular,MB,Orpington,Go-Ahead,,Forestdale,Ramsden Estate,Markfield,Ramsden Estate / Rye Crescent,"Forestdale, Markfield",Ramsden Estate,19.9,20,19.3,0,19.9,16.831,10.46
354,regular,SM,Sydenham,Go-Ahead,,Bromley North,Penge,Bromley North Station,High Street / Maple Road,Bromley North,"Penge, High Street / Maple Road",19.4,20,19.9,0,20,10.963,6.81
355,regular,Q,Camberwell,Go-Ahead,,Brixton,Mitcham,Brixton Station,Madeira Road,Brixton,"Mitcham, Madeira Road",11.7,12,11.9,0,11.9,10.272,6.38
356,regular,KB,Kangley Bridge Road,Stagecoach London,,Shirley,Upper Sydenham,Wickham Road,Sydenham Hill / Kirkdale,"Shirley, Wickham Road","Upper Sydenham, Sydenham Hill / Kirkdale",20,20.8,19.6,0,19.9,16.093,10
357,regular,NP,Northumberland Park,Go-Ahead,,Whipps Cross,Chingford Hatch,Whipps Cross Bus Stand,Hatch Lane,Whipps Cross,"Chingford Hatch, Hatch Lane",14.3,15.3,14.7,0,14.7,17.794,11.06
